v1,State,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,numberofvotes,_merge,votePercent,electvotes,roundedElec
1976,Arizona,AZ,4,86,61,US President,"Macbride, Roger",libertarian,FALSE,7647,742719,20171015,NA,11,matched (3),.010295953,.11325548,0
1980,Arizona,AZ,4,86,61,US President,"Griswold, Deirdre",workers world,FALSE,2,873945,20171015,NA,11,matched (3),2.2884735e-06,.000025173209,0
1996,Arizona,AZ,4,86,61,US President,"Perot, Ross",reform party,FALSE,112072,1404405,20171015,NA,11,matched (3),.079800345,.8778038,1
2008,Arizona,AZ,4,86,61,US President,"Barr, Bob",libertarian,FALSE,12555,2293475,20171015,NA,11,matched (3),.0054742256,.060216483,0
2000,Arizona,AZ,4,86,61,US President,,,TRUE,110,1532016,20171015,NA,11,matched (3),.000071800816,.00078980898,0
2016,Arizona,AZ,4,86,61,US President,"Tittle, Sheila """"Samm""""",we the people,TRUE,12,2573165,20171015,NA,11,matched (3),4.6635173e-06,.000051298692,0
2016,Arizona,AZ,4,86,61,US President,"Castle, Darrell L.",constitution party,TRUE,1058,2573165,20171015,NA,11,matched (3),.00041116678,.0045228344,0
2000,Arizona,AZ,4,86,61,US President,"Hagelin, John",natural law,FALSE,1120,1532016,20171015,NA,11,matched (3),.00073106284,.008041691,0
2000,Arizona,AZ,4,86,61,US President,"L. Neil, Smith",libertarian,FALSE,5775,1532016,20171015,NA,11,matched (3),.0037695428,.04146497,0
1992,Arizona,AZ,4,86,61,US President,"Fulani, Lenora",new alliance,FALSE,923,1486975,20171015,NA,11,matched (3),.00062072329,.0068279561,0
2012,Arizona,AZ,4,86,61,US President,,,TRUE,452,2299254,20171015,NA,11,matched (3),.0001965855,.0021624404,0
2016,Arizona,AZ,4,86,61,US President,"Clinton, Hillary",democrat,FALSE,1161167,2573165,20171015,NA,11,matched (3),.45126021,4.9638624,5
2016,Arizona,AZ,4,86,61,US President,,no party affiliation,TRUE,311,2573165,20171015,NA,11,matched (3),.00012086283,.0013294911,0
1976,Arizona,AZ,4,86,61,US President,"Anderson, Thomas J.",american,FALSE,564,742719,20171015,NA,11,matched (3),.00075937196,.0083530918,0
1992,Arizona,AZ,4,86,61,US President,"Hagelin, John",natural law,FALSE,2267,1486975,20171015,NA,11,matched (3),.0015245717,.016770288,0
2000,Arizona,AZ,4,86,61,US President,"Gore, Al",democrat,FALSE,685341,1532016,20171015,NA,11,matched (3),.44734585,4.9208045,5
2016,Arizona,AZ,4,86,61,US President,"Johnson, Gary",libertarian,FALSE,106327,2573165,20171015,NA,11,matched (3),.041321486,.45453635,0
1992,Arizona,AZ,4,86,61,US President,"Gritz, James """"Bo""""",independent,FALSE,8141,1486975,20171015,NA,11,matched (3),.0054748734,.060223605,0
1976,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",democrat,FALSE,295602,742719,20171015,NA,11,matched (3),.39799979,4.3779979,4
1976,Arizona,AZ,4,86,61,US President,"McCarthy, Eugene """"Gene""""",independent,FALSE,19229,742719,20171015,NA,11,matched (3),.025890008,.2847901,0
2008,Arizona,AZ,4,86,61,US President,"Obama, Barack H.",democrat,FALSE,1034707,2293475,20171015,NA,11,matched (3),.4511525,4.9626775,5
1996,Arizona,AZ,4,86,61,US President,"Clinton, Bill",democrat,FALSE,653288,1404405,20171015,NA,11,matched (3),.46517065,5.1168771,5
1980,Arizona,AZ,4,86,61,US President,"Reagan, Ronald",republican,FALSE,529688,873945,20171015,NA,11,matched (3),.60608846,6.6669731,7
1980,Arizona,AZ,4,86,61,US President,"Hall, Gus",communist party use,FALSE,25,873945,20171015,NA,11,matched (3),.000028605918,.00031466511,0
1992,Arizona,AZ,4,86,61,US President,,,TRUE,8,1486975,20171015,NA,11,matched (3),5.3800500e-06,.000059180551,0
2004,Arizona,AZ,4,86,61,US President,Other,,TRUE,2911,2012585,20171015,NA,11,matched (3),.0014463986,.015910383,0
2012,Arizona,AZ,4,86,61,US President,"Johnson, Gary",libertarian,FALSE,32100,2299254,20171015,NA,11,matched (3),.01396105,.15357155,0
2000,Arizona,AZ,4,86,61,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,12373,1532016,20171015,NA,11,matched (3),.0080762869,.088839158,0
2016,Arkansas,AR,5,71,42,US President,"Johnson, Gary",libertarian,FALSE,29829,1130635,20171015,NA,6,matched (3),.026382519,.15829511,0
1992,Arkansas,AR,5,71,42,US President,"Bush, George H.W.",republican,FALSE,337324,950653,20171015,NA,6,matched (3),.35483399,2.129004,2
2016,Arkansas,AR,5,71,42,US President,"Kahn, Lynn S.",independent,FALSE,3390,1130635,20171015,NA,6,matched (3),.002998315,.017989891,0
1988,Arkansas,AR,5,71,42,US President,"Fulani, Lenora",new alliance,FALSE,2161,827738,20171015,NA,6,matched (3),.0026107295,.015664376,0
2016,Arkansas,AR,5,71,42,US President,"Hedges, Jim",prohibition,FALSE,4709,1130635,20171015,NA,6,matched (3),.004164916,.024989497,0
2008,Arkansas,AR,5,71,42,US President,"Obama, Barack H.",democrat,FALSE,422310,1086617,20171015,NA,6,matched (3),.3886466,2.3318796,2
2008,Arkansas,AR,5,71,42,US President,"Barr, Bob",libertarian,FALSE,4776,1086617,20171015,NA,6,matched (3),.0043952931,.026371758,0
1988,Arkansas,AR,5,71,42,US President,"Bush, George H.W.",republican,FALSE,466578,827738,20171015,NA,6,matched (3),.56367838,3.3820703,3
1988,Arkansas,AR,5,71,42,US President,"Paul, Ronald """"Ron""""",libertarian,FALSE,3297,827738,20171015,NA,6,matched (3),.0039831446,.023898868,0
2008,Arkansas,AR,5,71,42,US President,"McCain, John",republican,FALSE,638017,1086617,20171015,NA,6,matched (3),.58715904,3.5229542,4
1992,Arkansas,AR,5,71,42,US President,"Clinton, Bill",democrat,FALSE,505823,950653,20171015,NA,6,matched (3),.53207952,3.1924772,3
2000,Arkansas,AR,5,71,42,US President,"Bush, George W.",republican,FALSE,472940,921781,20171015,NA,6,matched (3),.51307195,3.0784316,3
1996,Arkansas,AR,5,71,42,US President,"Hagelin, John",natural law,FALSE,729,884262,20171015,NA,6,matched (3),.00082441629,.0049464977,0
1976,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,FALSE,498604,767535,20171015,NA,6,matched (3),.64961725,3.8977036,4
2008,Arkansas,AR,5,71,42,US President,"Baldwin, Charles """"Chuck""""",constitution party,FALSE,4023,1086617,20171015,NA,6,matched (3),.0037023164,.022213899,0
1996,Arkansas,AR,5,71,42,US President,"Hollis, Mary Cal",socialist,FALSE,538,884262,20171015,NA,6,matched (3),.00060841697,.0036505018,0
1996,Arkansas,AR,5,71,42,US President,"Moorehead, Monica",workers world,FALSE,747,884262,20171015,NA,6,matched (3),.00084477226,.0050686337,0
1980,Arkansas,AR,5,71,42,US President,"Clark, Edward """"Ed""""",libertarian,FALSE,8970,837582,20171015,NA,6,matched (3),.010709399,.0642564,0
2012,Arkansas,AR,5,71,42,US President,"Obama, Barack H.",democrat,FALSE,394409,1069468,20171015,NA,6,matched (3),.36878991,2.2127395,2
2012,Arkansas,AR,5,71,42,US President,"Romney, Mitt",republican,FALSE,647744,1069468,20171015,NA,6,matched (3),.60566938,3.6340163,4
2004,Arkansas,AR,5,71,42,US President,"Cobb, David",green,FALSE,1488,1054945,20171015,NA,6,matched (3),.0014105,.0084629999,0
1988,Arkansas,AR,5,71,42,US President,"Dukakis, Michael",democrat,FALSE,349237,827738,20171015,NA,6,matched (3),.42191732,2.5315039,3
1992,Arkansas,AR,5,71,42,US President,"Perot, Ross",independent,FALSE,99132,950653,20171015,NA,6,matched (3),.1042778,.6256668,1
2000,Arkansas,AR,5,71,42,US President,"Hagelin, John",natural law,FALSE,1098,921781,20171015,NA,6,matched (3),.0011911723,.0071470337,0
1996,Arkansas,AR,5,71,42,US President,"Perot, Ross",reform party,FALSE,69884,884262,20171015,NA,6,matched (3),.079030879,.47418529,0
2008,Arkansas,AR,5,71,42,US President,"Nader, Ralph",independent,FALSE,12882,1086617,20171015,NA,6,matched (3),.011855143,.071130857,0
1980,Arkansas,AR,5,71,42,US President,"Anderson, John B.",independent,FALSE,22468,837582,20171015,NA,6,matched (3),.026824836,.16094902,0
2012,Arkansas,AR,5,71,42,US President,"Johnson, Gary",libertarian,FALSE,16276,1069468,20171015,NA,6,matched (3),.015218781,.091312692,0
2016,Arkansas,AR,5,71,42,US President,"Trump, Donald J.",republican,FALSE,684872,1130635,20171015,NA,6,matched (3),.60574102,3.6344461,4
2008,Arkansas,AR,5,71,42,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,1139,1086617,20171015,NA,6,matched (3),.0010482074,.0062892446,0
2004,Arkansas,AR,5,71,42,US President,"Bush, George W.",republican,FALSE,572898,1054945,20171015,NA,6,matched (3),.54305959,3.2583575,3
2004,Arkansas,AR,5,71,42,US President,"Peroutka, Michael",constitution party,FALSE,2083,1054945,20171015,NA,6,matched (3),.0019745105,.011847063,0
2008,Arkansas,AR,5,71,42,US President,"McKinney, Cynthia",green,FALSE,3470,1086617,20171015,NA,6,matched (3),.0031933975,.019160386,0
1980,Arkansas,AR,5,71,42,US President,"Hall, Gus",communist party use,FALSE,1244,837582,20171015,NA,6,matched (3),.0014852277,.0089113666,0
1976,Arkansas,AR,5,71,42,US President,"Ford, Gerald",republican,FALSE,267903,767535,20171015,NA,6,matched (3),.34904337,2.0942602,2
1984,Arkansas,AR,5,71,42,US President,"Lowery, Arthur",united sovereign citizens,FALSE,822,884406,20171015,NA,6,matched (3),.0009294374,.0055766245,0
1996,Arkansas,AR,5,71,42,US President,"Dodge, Earl",prohibition,FALSE,483,884262,20171015,NA,6,matched (3),.00054621819,.0032773092,0
1984,Arkansas,AR,5,71,42,US President,"Dodge, Earl",prohibition,FALSE,842,884406,20171015,NA,6,matched (3),.00095205143,.0057123085,0
1976,Arkansas,AR,5,71,42,US President,,independent,FALSE,639,767535,20171015,NA,6,matched (3),.00083253533,.004995212,0
1980,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,FALSE,398041,837582,20171015,NA,6,matched (3),.47522631,2.8513579,3
2004,Arkansas,AR,5,71,42,US President,"Badnarik, Michael",libertarian,FALSE,2352,1054945,20171015,NA,6,matched (3),.0022295001,.013377001,0
2004,Arkansas,AR,5,71,42,US President,"Kerry, John",democrat,FALSE,469953,1054945,20171015,NA,6,matched (3),.44547629,2.6728578,3
1996,Arkansas,AR,5,71,42,US President,"Collins, Charles",unaffiliated,FALSE,823,884262,20171015,NA,6,matched (3),.0009307196,.0055843177,0
1988,Arkansas,AR,5,71,42,US President,"Dodge, Earl",populist,FALSE,5146,827738,20171015,NA,6,matched (3),.0062169433,.03730166,0
1996,Arkansas,AR,5,71,42,US President,"Browne, Harry",libertarian,FALSE,3076,884262,20171015,NA,6,matched (3),.0034786069,.020871641,0
1992,Arkansas,AR,5,71,42,US President,Other,independent,FALSE,8374,950653,20171015,NA,6,matched (3),.0088086817,.05285209,0
